date,AAL,DAL,UAL,LUV,ALK
2021-12-16,1.1506320623533481,1.3004811095918665,1.473295375298372,1.1297658890356757,1.3056203171630085
2021-12-17,1.1253621422309597,1.2757281209839035,1.45055468748071,1.1150048614899812,1.2825285375112472
2021-12-20,1.0982216179852011,1.267630761110024,1.4277867135252769,1.110383840224065,1.2848685246394227
2021-12-21,1.121124413662856,1.3039067320671374,1.470548602230039,1.1307608659614,1.3195347740798207
2021-12-22,1.1133981497918666,1.3017037686352038,1.46758287846169,1.1275228602673637,1.3151044471017166
2021-12-23,1.1115373522609724,1.3012079979010605,1.4674097645617992,1.1317258843074802,1.3180806106150424
2021-12-27,1.0987706822913241,1.2847100611848,1.4511252836225002,1.1205517555967939,1.2979799650050132
2021-12-28,1.0890678852713924,1.2823016411774226,1.447396092022007,1.1240782354721768,1.298790902477602
2021-12-29,1.0869246674190531,1.2822651555394375,1.447114229714175,1.1247755283581287,1.2973891333424068
2021-12-30,1.0855715357506945,1.281611236017402,1.4470638776332208,1.1206139164474331,1.2968464421090766
2021-12-31,1.0931473284677038,1.28379270485094,1.4567494116751454,1.1191644558457179,1.3006485718957617
2022-01-03,1.0811738952300272,1.2746448834281334,1.4509859144804886,1.1100987275856216,1.2790625157344624
2022-01-04,1.0756130197157698,1.269202526825086,1.4377536924978518,1.1063121039776416,1.2751760065140987
2022-01-05,1.0726313252460709,1.243860816327338,1.417223672902065,1.092086517988631,1.2520487506688218
2022-01-06,1.0940173774650404,1.2617338377179816,1.4323153110485698,1.0943625147252187,1.2705472773306064
2022-01-07,1.0883006701543456,1.2532731322588528,1.4250723101088714,1.086806633422009,1.265281274957045
2022-01-10,1.0906750023517275,1.25291715291209,1.4251552612195308,1.0950614341121652,1.2634428398038147
2022-01-11,1.0927040563153505,1.255910605941674,1.423862618102453,1.0976852784134379,1.2672907155489441
2022-01-12,1.0888114024231206,1.2539397858381185,1.4222240218038271,1.0965657587387558,1.265388806318718
2022-01-13,1.0528463743339835,1.2278415124880728,1.3867022399381144,1.0772628537220346,1.2469652987225692
2022-01-14,1.0377795779310168,1.2159848754235407,1.3676643242209763,1.0600261948574525,1.2366467881960619
2022-01-18,1.0503980683188292,1.2126676671887626,1.3630675653715703,1.0489321152497835,1.2235046518806523
2022-01-19,1.0662461723729473,1.2031680519141792,1.377212746898017,1.0449544629526972,1.2190013385753256
2022-01-20,1.0800494891393084,1.1934743778105361,1.3904019529462632,1.0380010364350993,1.2165354597280824
2022-01-21,1.0878799996215158,1.1919953069567806,1.3901783722670806,1.0379898859704335,1.2255887991638932
2022-01-24,1.0937472788676808,1.1972819152599676,1.3965643242174468,1.0472357400912038,1.2284089587317613
2022-01-25,1.082990162290522,1.1726916740737834,1.380224664070637,1.0387480065380084,1.204101049470263
2022-01-26,1.2200045048002053,1.184664510680623,1.4187085427694093,1.0237765981346523,1.1627792059790591
2022-01-27,1.1885556239259423,1.1718185943517114,1.4070004758387913,1.0276657626438401,1.1462921412192628
2022-01-28,1.1045384571538814,1.0956969903801201,1.3212271997369909,1.0043095357963245,1.0824327535866758
2022-01-31,1.17163874152754,1.1326091253202244,1.366515248418164,1.0262340980710536,1.106943633284583
2022-02-01,1.2005459812178791,1.1290904249997011,1.3695737854724126,1.0237107221217316,1.10484920954849
2022-02-02,1.1988104995230422,1.1240839916485847,1.3648313995781225,1.0088176572972742,1.0952078439894408
2022-02-03,1.205424310439997,1.1038961956284155,1.3562944757599278,0.9747338241862649,1.0723202349527987
2022-02-04,1.2056100499610316,1.1032415314523705,1.3556509325312538,0.9721530655158286,1.0740491573952222
2022-02-07,1.184294031639838,1.0803623344201616,1.3304834555336829,0.9526506302961798,1.0485051103616267
2022-02-08,1.2030928256425713,1.092996098273575,1.3471968354451973,0.9623434445596776,1.060952373908518
2022-02-09,1.2107113149393058,1.1046389043894724,1.3674540159479018,0.9682444228570373,1.0637155140815324
2022-02-10,1.192615249426125,1.0839419242008743,1.3365459962030846,0.9602353903478468,1.0431811134769642
2022-02-11,1.2282363738185615,1.0971648213898013,1.3567262063310943,0.9634039802069074,1.0549983096548141
2022-02-14,1.2319270560657984,1.1005209321584002,1.3590826872438402,0.9642947705943278,1.0567989090668322
2022-02-15,1.282137460980813,1.13536867483458,1.4032414185653452,0.9869972438667473,1.0848297938377585
2022-02-16,1.2795211721312638,1.136582794877188,1.3983814792348643,0.9859397774197922,1.0858882832294163
2022-02-17,1.2912727189753321,1.1403790682842319,1.4145641108849523,0.9883160331419628,1.0908108271621295
2022-02-18,1.3392687515608308,1.1645503882448405,1.4375302502430578,1.0082485175384308,1.1014956652512449
2022-02-22,1.3442928616806171,1.16920108097657,1.4411412370108554,1.0046625455079201,1.1020520505965377
2022-02-23,1.340415864664052,1.1789876507351444,1.4279467296497466,1.0005842700173864,1.1137151076649943
2022-02-24,1.3272462847100714,1.171909828603636,1.3878895822522155,1.007304063364504,1.1066737831965698
2022-02-25,1.3321182900943278,1.1777458754986347,1.4072402967268622,1.0053673108366872,1.1072192509555
2022-02-28,1.3574415850921824,1.214011262227542,1.4374171640417013,1.0390904959869445,1.1459436314804965
2022-03-01,1.3950265195350096,1.2503390329320054,1.4696856497778237,1.061487387301108,1.1938649233154681
2022-03-02,1.4156548417864083,1.2547956145819372,1.4915470724193973,1.0644656892979798,1.1978741042520828
2022-03-03,1.4095816369086487,1.2559715837505547,1.4854369889926862,1.05670016374828,1.1996152045247372
2022-03-04,1.4927555942896564,1.31064638812685,1.5712843155005973,1.0653755366520694,1.2298155172125074
2022-03-07,1.6192401892510755,1.4529608510712102,1.7447997250709522,1.1629782926116496,1.3537186342831182
2022-03-08,1.6028645780514397,1.4496828651919231,1.7488868496046912,1.1660449819480747,1.3448418461394136
2022-03-09,1.625503744571032,1.466398487976458,1.797051043566868,1.18088968603403,1.358497504530548
2022-03-10,1.6231297979828394,1.4669184135463325,1.7989539138476998,1.1821705839272167,1.364862543409459
2022-03-11,1.6142440844200585,1.4618061190168916,1.7872458648455611,1.1816725528219751,1.3555850495893047
2022-03-14,1.5841641978305316,1.4526860132459456,1.7599286654062276,1.1757449707471552,1.3314668473052769
2022-03-15,1.6434491317892312,1.5085294263686295,1.8153249282689026,1.1993720840972752,1.3459549112980598
2022-03-16,1.6634537401606027,1.5336959325830617,1.8488315105552473,1.1972319803808882,1.3700330095568463
2022-03-17,1.6612581112531548,1.5265289312308423,1.8422524954531694,1.1895834239448804,1.3477081411342335
2022-03-18,1.6611609554005577,1.52623402534705,1.8448737677763736,1.190051152911925,1.3497915531614064
2022-03-21,1.6820420274054333,1.5386397669056864,1.8642243339139581,1.2018886789037453,1.364646306673809
2022-03-22,1.6682296853453766,1.5292127988529611,1.8507927138708204,1.1912348213498536,1.352932771674963
2022-03-23,1.664180120838738,1.5310647971829332,1.8451499827343039,1.185811427445857,1.347171215964996
2022-03-24,1.6613170178645353,1.5304446855008578,1.8404549294916168,1.1837593846102012,1.3501405861825355
