date,AAL,DAL,UAL,LUV,ALK
2015-01-02,,,,,
2015-01-05,,,,,
2015-01-06,,,,,
2015-01-07,,,,,
2015-01-08,,,,,
2015-01-09,,,,,
2015-01-12,,,,,
2015-01-13,,,,,
2015-01-14,,,,,
2015-01-15,,,,,
2015-01-16,,,,,
2015-01-20,,,,,
2015-01-21,,,,,
2015-01-22,,,,,
2015-01-23,,,,,
2015-01-26,,,,,
2015-01-27,,,,,
2015-01-28,,,,,
2015-01-29,,,,,
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-17,0.44597759102080403,0.3903052437239683,0.44796040708572504,0.4013225005715344,0.3533807693227146
2015-02-18,0.45461976664113457,0.39078897669772406,0.45509189811298667,0.39923689101231163,0.357084584458234
2015-02-19,0.45415716069260315,0.38791207748244333,0.45028860305056123,0.3889218082114332,0.3578992439475059
2015-02-20,0.46064017099116067,0.39963882126341765,0.45592203506594436,0.39313069058144884,0.3606361866238248
2015-02-23,0.4594124590665066,0.3926691504253197,0.4547461582702429,0.38722772044224424,0.3580683380585851
2015-02-24,0.4509473936718379,0.38755580787021415,0.45740843839224626,0.3791252262174416,0.3539336797111578
2015-02-25,0.4411954618828818,0.39116070995566216,0.4675585782365147,0.38661143284845756,0.3559155002066134
2015-02-26,0.43913854865339214,0.3941257004325426,0.47086508879428607,0.3867352406884386,0.35487703639346346
2015-02-27,0.44375625304948,0.39578304478791976,0.46935432156353735,0.3828975496006871,0.35543137853690343
2015-03-02,0.44454752177041035,0.39948546959941894,0.4742302329386711,0.38333776956472737,0.36358730987812454
2015-03-03,0.44480077026778364,0.3970281491616171,0.47568395072779196,0.3829163839816539,0.3627734849766245
2015-03-04,0.4081181614375336,0.3342807757453831,0.46580552041888645,0.37275868322758715,0.348977990306058
2015-03-05,0.4046354469239239,0.33669623206867927,0.4642444809067203,0.3665184791717545,0.35252234792371734
2015-03-06,0.38768824882522906,0.32202837446056526,0.4464116823793877,0.2762141471758607,0.3272741047563975
2015-03-09,0.3873271277334071,0.32864599927162513,0.44498624892458655,0.27454755734047864,0.32569078637453824
2015-03-10,0.3916283433922239,0.334553670817234,0.44772646339605765,0.27188902253286995,0.31507339394674944
2015-03-11,0.37199321841934924,0.3355809473320727,0.4489330271813539,0.27872507600189883,0.31794202475438216
2015-03-12,0.3656517622230287,0.347135822804057,0.45525614867243824,0.2895629348063475,0.3297303747764626
2015-03-13,0.35410337109768664,0.32849373181896646,0.4391262683624062,0.2797428026959049,0.312964023389076
2015-03-16,0.31247174612728773,0.28810976549143064,0.40837496417052527,0.2651288454753975,0.28779643250050246
2015-03-17,0.36825311942470584,0.285598065618363,0.4115562314559367,0.2648274554680162,0.2913442113292882
2015-03-18,0.35827936956099155,0.288799249386336,0.40932166878309156,0.25158667959050984,0.27732994644200265
2015-03-19,0.34427706932386226,0.2972468413912022,0.38571465891714934,0.2375458294472286,0.2699553191815022
2015-03-20,0.3417105206326,0.29243333391631404,0.376953193284713,0.23706398907650392,0.2701699564460211
2015-03-23,0.34812975795388307,0.29444828278464,0.37531715394342774,0.24378483076656063,0.2722088369309894
2015-03-24,0.33159267524274016,0.28802404798215453,0.35045880183617145,0.23859532362755603,0.24942909977020897
2015-03-25,0.34123802679988813,0.29908532463506815,0.3348068748095144,0.2497762404929635,0.25839686360863456
2015-03-26,0.34297451801042134,0.29959803010972946,0.3350877935333169,0.2517149044917735,0.2554428384154994
2015-03-27,0.35011195639127657,0.30405479410614905,0.3581135606668415,0.2616416737366146,0.24505398661425815
2015-03-30,0.35229528616217637,0.30622448067744057,0.35485102512028543,0.2618863310196388,0.24559229171503652
2015-03-31,0.35540527391591026,0.3085777329153842,0.35226331441135667,0.25760298088285943,0.24471446739334052
