date,AAL,DAL,UAL,LUV,ALK
2015-01-02,,,,,
2015-01-05,,,,,
2015-01-06,,,,,
2015-01-07,,,,,
2015-01-08,,,,,
2015-01-09,,,,,
2015-01-12,,,,,
2015-01-13,,,,,
2015-01-14,,,,,
2015-01-15,,,,,
2015-01-16,,,,,
2015-01-20,,,,,
2015-01-21,,,,,
2015-01-22,,,,,
2015-01-23,,,,,
2015-01-26,,,,,
2015-01-27,,,,,
2015-01-28,,,,,
2015-01-29,,,,,
2015-01-30,,,,,
2015-02-02,,,,,
2015-02-03,,,,,
2015-02-04,,,,,
2015-02-05,,,,,
2015-02-06,,,,,
2015-02-09,,,,,
2015-02-10,,,,,
2015-02-11,,,,,
2015-02-12,,,,,
2015-02-13,,,,,
2015-02-17,0.3396277852414827,0.26355129461643334,0.3047365103178204,0.2345946324627459,0.23349634441063044
2015-02-18,0.3396239551055442,0.2590831698257236,0.30462344276956466,0.22350175119228494,0.2298122022217546
2015-02-19,0.3366048951142898,0.24991256994283723,0.2980145622293672,0.20786390037654837,0.23083092450701828
2015-02-20,0.33660090062206377,0.249441047307351,0.2980145622293672,0.20786390037654837,0.23083092450701828
2015-02-23,0.33660090062206377,0.24990816653700282,0.2980145622293672,0.20794551547807835,0.23083092450701828
2015-02-24,0.3247365917422097,0.23716410888363282,0.2926021316051188,0.19378172760270562,0.22613682166772897
2015-02-25,0.3116299782211907,0.242555584009549,0.30611452123799016,0.20556821539768858,0.2304802150806963
2015-02-26,0.31241591652270806,0.2491461306479995,0.3107693017227016,0.20558501497065668,0.2304802150806963
2015-02-27,0.318770082382078,0.2516884271114017,0.3086130093148151,0.19942621542698635,0.2309644984458252
2015-03-02,0.318770082382078,0.2511383989183205,0.30845240398526147,0.1954386427785109,0.23094098118963322
2015-03-03,0.318770082382078,0.2511383989183205,0.30845240398526147,0.1958789425694852,0.23094098118963322
2015-03-04,0.318770082382078,0.254285878997447,0.3087637021450954,0.1958789425694852,0.23157215074872278
2015-03-05,0.32042919269065034,0.2589234800345291,0.31038206102763893,0.1958789425694852,0.2368654278386098
2015-03-06,0.3213231781684976,0.2619686313404562,0.31493200223585066,0.20281242466152746,0.24035399009868516
2015-03-09,0.3213594812374207,0.26184631905562117,0.315742243548239,0.20281242466152746,0.24035399009868516
2015-03-10,0.3289519705748757,0.2712997596685551,0.3228711595544938,0.2051257844346051,0.24035399009868516
2015-03-11,0.2958866177291559,0.2654446973557575,0.31482072417572965,0.202537973316523,0.23841773385491957
2015-03-12,0.27288033160619857,0.26203154003216905,0.31206317606617606,0.20247490333341148,0.23476362160776632
2015-03-13,0.27288033160619857,0.26203154003216905,0.31214792727990864,0.20463394383086245,0.23556666244907745
2015-03-16,0.209111727213535,0.2015915685821434,0.26561197519027097,0.1714990603840924,0.19611751550231976
2015-03-17,0.20802828339985902,0.19554347494926752,0.26561197519027097,0.16635275865885762,0.1947059999568915
2015-03-18,0.19495766861040878,0.19997498100951824,0.2623072619318707,0.1469745379354207,0.17505685007393101
2015-03-19,0.19495766861040878,0.19997498100951824,0.2623072619318707,0.1469745379354207,0.17505685007393101
2015-03-20,0.19226438987155697,0.19346507420304587,0.24959912134672693,0.14655959510528274,0.17505685007393101
2015-03-23,0.201064186553257,0.19621027245449055,0.24722518702889226,0.15596543419445943,0.17788414411745182
2015-03-24,0.17760948415499328,0.18738384192737673,0.2108468616475038,0.1486148508431053,0.14455098571831249
2015-03-25,0.20540724902234903,0.21012458069736906,0.22874831102321647,0.16757373943764586,0.17748473787341737
2015-03-26,0.2076601328313143,0.210863025866486,0.22919078345141206,0.1703490202799397,0.17334064507259228
2015-03-27,0.2076601328313143,0.21057830294930108,0.22919078345141206,0.1703490202799397,0.154254490242287
2015-03-30,0.2076601328313143,0.209621537952324,0.22415644265484752,0.16982700935889933,0.15400465328222446
2015-03-31,0.21157497203726824,0.21306816372762807,0.2204676162988081,0.16405501444839582,0.15324643733218646
