date,AAL,DAL,UAL,LUV,ALK,SPY
2015-01-02,51.07990646362305,42.729148864746094,66.33999633789062,37.374595642089844,55.15901565551758,169.6878662109375
2015-01-05,51.05147933959961,42.0167121887207,66.1500015258789,36.45533752441406,54.37273025512695,166.6233673095703
2015-01-06,50.255592346191406,41.026248931884766,64.58000183105469,35.42226028442383,53.732723236083984,165.0539093017578
2015-01-07,50.22715759277344,40.80904006958008,65.52999877929688,35.71992492675781,54.555580139160156,167.11068725585938
2015-01-08,50.84303283691406,41.8690071105957,66.63999938964844,36.66545104980469,55.49729919433594,170.07611083984375
2015-01-09,49.289127349853516,40.7308464050293,65.33999633789062,35.711177825927734,54.61044692993164,168.713134765625
2015-01-12,46.97722244262695,40.018402099609375,65.91999816894531,35.238407135009766,55.41501998901367,167.39154052734375
2015-01-13,47.754173278808594,40.49625778198242,66.41000366210938,35.43977355957031,56.14643478393555,166.92068481445312
2015-01-14,46.81614685058594,39.36676788330078,64.05000305175781,34.52924728393555,56.26529312133789,165.91299438476562
2015-01-15,46.81614685058594,39.1408805847168,63.83000183105469,34.05650329589844,56.20130920410156,164.39309692382812
2015-01-16,47.19514846801758,39.8272590637207,65.75,34.564273834228516,57.00587844848633,166.54904174804688
2015-01-20,49.980812072753906,42.72046661376953,68.02999877929688,35.711177825927734,59.063018798828125,166.90419006347656
2015-01-21,50.852508544921875,42.729148864746094,69.20999908447266,36.62167739868164,59.41044235229492,167.74671936035156
2015-01-22,52.671722412109375,44.0497932434082,72.33999633789062,39.70340347290039,62.11674880981445,170.24131774902344
2015-01-23,52.7664680480957,43.928138732910156,73.0999984741211,40.079856872558594,62.76588439941406,169.3079071044922
2015-01-26,52.539066314697266,43.57193374633789,73.62000274658203,40.62266540527344,64.40245056152344,169.70437622070312
2015-01-27,49.933433532714844,42.729148864746094,71.80000305175781,40.16741943359375,63.725887298583984,167.4659423828125
2015-01-28,47.9626350402832,42.10359573364258,70.7699966430664,40.097373962402344,62.81160354614258,165.3182373046875
2015-01-29,49.49758529663086,43.62404251098633,73.52999877929688,41.13920593261719,64.97846221923828,166.84634399414062
2015-01-30,46.503475189208984,41.10444641113281,69.37000274658203,39.554569244384766,62.05274963378906,164.748291015625
2015-02-02,46.16236877441406,40.40937805175781,69.37999725341797,38.985496520996094,61.54988098144531,166.78854370117188
2015-02-03,45.006412506103516,39.97496032714844,67.97000122070312,37.864864349365234,59.593318939208984,169.2004852294922
2015-02-04,46.86351776123047,40.800350189208984,71.69999694824219,39.08179473876953,60.98301696777344,168.55618286132812
2015-02-05,46.34134292602539,40.08790588378906,69.5999984741211,38.93297576904297,61.092750549316406,170.25779724121094
