date,AAL,DAL,UAL,LUV,ALK,SPY
2015-01-02,,,,,,
2015-01-05,-0.0005565226327045592,-0.016673317745703797,-0.0028639557205281108,-0.024595801021604857,-0.014254884555975122,-0.01805962305847919
2015-01-06,-0.015589890904314063,-0.023573078549963822,-0.023733932858792328,-0.028338161436535447,-0.01177073536752593,-0.009419195117432722
2015-01-07,-0.0005658027712038827,-0.005294387567952308,0.014710388995148094,0.008403321525613627,0.015313887953543937,0.012461249556599663
2015-01-08,0.012261797673958741,0.02597382930861314,0.0169388162830586,0.026470551799468778,0.01726164496415672,0.017745265923322373
2015-01-09,-0.03056280084716645,-0.02718384753094305,-0.01950784909460468,-0.026026496239762942,-0.015980097721490782,-0.008013918400934239
2015-01-12,-0.0469049673129065,-0.017491517321671757,0.008876673761279985,-0.013238731391679748,0.0147329513731016,-0.00783338084564189
2015-01-13,0.016538884075799176,0.011940898619180684,0.007433335964425192,0.005714402009973085,0.013198854661910842,-0.0028129002899863753
2015-01-14,-0.01964281577541027,-0.027891216634445937,-0.03553682397548297,-0.025692214824800552,0.0021169347236336122,-0.006036941621750724
2015-01-15,0.0,-0.005738019927203797,-0.0034348354445096207,-0.01369111768205411,-0.0011371826873511903,-0.009160810258253438
2015-01-16,0.008095532053101762,0.017536102120091712,0.03007987018435565,0.014909649822776538,0.01431584523169871,0.013114570286474336
2015-01-20,0.0590243636297505,0.07264390314733715,0.034676787517823104,0.033181775992164875,0.03608645996396209,0.0021323948291875894
2015-01-21,0.017440622431246222,0.0002032339921531623,0.017345293640294468,0.025496206739304084,0.005882251881674794,0.005047981698689252
2015-01-22,0.035774319089498796,0.0309073410950087,0.04522463942815147,0.08415032552085377,0.04555270673582168,0.014871220123912066
2015-01-23,0.001798795096257244,-0.002761749863973595,0.010505974214880975,0.009481640532785773,0.010450250569087105,-0.005482867830636229
2015-01-26,-0.004309587922223024,-0.008108811273294436,0.007113601686941529,0.013543175427018328,0.026074135300874657,0.0023417046669076402
2015-01-27,-0.049594196561759674,-0.019342379580815194,-0.02472153799136767,-0.011206698702261653,-0.01050524098136818,-0.013190195136626892
2015-01-28,-0.03946851544147134,-0.014639962361141956,-0.014345492547526928,-0.001743837970652029,-0.014347132557881559,-0.012824727509164413
2015-01-29,0.03200304268225618,0.03611204104662358,0.038999608127024965,0.02598254866245675,0.03449774485543733,0.00924342476890061
2015-01-30,-0.060490023694664496,-0.057757052185591906,-0.05657549438020848,-0.03851889340858772,-0.04502588220044079,-0.012574761473882257
2015-02-02,-0.007335073634971545,-0.016909809523349972,0.0001440753415054008,-0.01438702871146702,-0.008103889921260321,0.012384059785806034
2015-02-03,-0.025041095138758296,-0.01075041848090208,-0.020322803236279774,-0.028744847998212086,-0.03178823437247835,0.014461074332789314
2015-02-04,0.04126312566848345,0.020647671825204883,0.05487708784096568,0.03213877588933434,0.023319695115187056,-0.0038079226976812652
2015-02-05,-0.011142459212420963,-0.017461720355732457,-0.029288682894045515,-0.003807884738183054,0.0017994121478273062,0.010095235612227471
2015-02-06,-0.013521862051735667,-0.013653980034264657,-0.02902294091022839,-0.00742069945598911,-0.013469165159026852,-0.002765097555434415
2015-02-09,-0.03364497523331422,-0.023291328186103688,-0.04453983507954418,-0.01993709965440349,-0.03655951736864749,-0.004476253693439514
2015-02-10,0.03266718154879822,0.019572210102929644,0.047390391405546684,0.012020638694823171,0.02928700144595542,0.010653446662443056
2015-02-11,-0.009573247687025388,-0.007502100843999715,-0.007540951168827137,-0.0063955024072209765,-0.013155901010814097,0.0005804187196738475
2015-02-12,0.006093310250821826,-0.0037795503096508254,0.003277615946161383,0.0,-0.027282759849998506,0.00961643526470235
2015-02-13,0.010651830713648502,-0.006918165352637229,-0.01648341314703139,-0.0045978204275766155,-0.0030279359489050472,0.004117038413254059
2015-02-17,-0.007852654333170839,0.005842759730639857,-0.019628612197884143,-0.01639734404666593,-0.0052749488648152765,0.0015725402662944976
2015-02-18,0.027077502823040334,0.013431658276028768,0.02756816428637321,0.02254092888949133,0.02571118739233147,9.539295126104186e-05
2015-02-19,0.00953143707915216,0.014358327688743122,-0.009442519054046583,0.004821757649874137,-0.013943291576646755,-0.0007140162658918481
2015-02-20,0.024909841147208178,0.03310101903019236,0.02905138303418342,0.023309146900517552,0.022314384928178166,0.006000544208399017
2015-02-23,0.005684059919947249,-0.005269585012329325,0.012204001993671554,-0.0020099848285407562,0.0,-0.00014166811759885878
2015-02-24,0.0040927716840901684,0.017800185280669956,0.029779244055965437,0.014768535377688519,0.004521334868565319,0.0028404983680931917
2015-02-25,-0.03474400832593427,-0.024776148977840973,-0.031033953550342885,-0.027122190228697884,-0.015365652131814178,-0.0008498143298720784
2015-02-26,-0.007641222560060057,-0.019641377251004233,-0.018488924549744712,-0.0009067996244415122,0.008512165401391103,-0.0011811851829868214
2015-02-27,-0.029381963819909318,-0.030487697819264747,-0.03322453166130923,-0.01905622070947388,-0.0051578649916731445,-0.0034061718337484725
2015-03-02,0.008559660992296658,0.019542011900478107,0.02500762880923979,0.022664100165300294,0.028122332797829053,0.006313519497303632
2015-03-03,0.009521641576418327,0.008591812037205715,0.03277956176372521,-0.004528968281456436,0.011002812256325267,-0.0041042961785604515
2015-03-04,0.003691008190953804,-0.013761630778946432,-0.004782635232676635,0.001137517017717915,-0.005895157511917493,-0.0042153599540804
2015-03-05,-0.011236113686431737,-0.016832721307898924,-0.010921800203850474,0.0020448482420454273,-0.017181003846921006,0.0010942397630193668
2015-03-06,-0.008264361957353694,-0.013741643751752686,-0.018404005207578567,-0.018140717995674294,-0.014078054735715662,-0.014064829701367243
2015-03-09,-0.001666595934694537,0.018044951138891596,-0.00779955988222325,0.002309711581499174,0.003923008198684519,0.00414467844244637
2015-03-10,-0.02462454294380867,-0.02580233581958369,-0.02328043658358603,-0.010599347704684514,0.002969518314759778,-0.016222056155569597
2015-03-11,0.01390658055465055,0.013818439649607273,0.02104938240990628,0.020959655429733992,0.01418110226830227,-0.0023413209808674784
2015-03-12,0.02722124645306301,0.029759252123673585,0.02683032606206681,0.025775553422249242,0.03119253179875181,0.012713905289097438
2015-03-13,0.011092916245383,0.0037502710215320256,-0.002509568560766562,-0.010229302493899306,-0.006705491947819664,-0.006132154950104218
2015-03-16,0.020316650842369333,0.014505702858151004,0.005179790967912323,0.022242617191616576,0.013651508743093732,0.013360234974425067
2015-03-17,0.06909607632783699,0.010615079421582907,0.017226121915301595,0.015603984613006938,0.018203388167566947,-0.0029721420687274236
2015-03-18,0.008195296372392802,-0.018006424163285017,-0.01432910574966395,-0.01017063521695205,-0.012064340570450582,0.012021453194741571
2015-03-19,0.019582582650345515,0.03165257152214562,0.029221702031693164,0.013336182200938573,0.005590831010219732,-0.004561853432783036
